OrgId,IncidentId,AlertId,Timestamp,DetectorId,AlertTitle,Category,MitreTechniques,Severity,IncidentGrade,ActionGrouped,DeviceId,AccountUpn,IpAddress,Sha256,Url
ORG-CORP-01,INC-1001,ALT-10001,2026-08-27 06:57:06,DET-850,Malicious Office Macro Executed,InitialAccess,T1566.001,High,TruePositive,Blocked,DEV-FIN-02,corp\alice.smith,192.168.10.45,4a5e1e4baab89f3a32518a88c31bc87f618f76673e2cc77ab2127b7afdeda33b,http://malicious-doc-share.ru/invoice.docm
ORG-CORP-01,INC-1001,ALT-10002,2026-08-27 07:11:06,DET-909,PowerShell Obfuscated Script Execution,Execution,T1059.001,High,TruePositive,Detected,DEV-FIN-02,corp\alice.smith,192.168.10.46,4a5e1e4baab89f3a32518a88c31bc87f618f76673e2cc77ab2127b7afdeda33b,http://malicious-doc-share.ru/invoice.docm
ORG-CORP-01,INC-1001,ALT-10003,2026-08-27 07:33:06,DET-881,Volume Shadow Copies Deleted via vssadmin,Impact,T1490,Critical,TruePositive,Detected,DEV-SRV-BACKUP,corp\finance_svc,185.220.101.42,4a5e1e4baab89f3a32518a88c31bc87f618f76673e2cc77ab2127b7afdeda33b,http://malicious-doc-share.ru/invoice.docm
ORG-CORP-01,INC-1001,ALT-10004,2026-08-27 07:45:06,DET-265,High Volume of File Renaming to .locked,Impact,T1486,Critical,TruePositive,Detected,DEV-FIN-01,corp\alice.smith,192.168.10.45,4a5e1e4baab89f3a32518a88c31bc87f618f76673e2cc77ab2127b7afdeda33b,http://malicious-doc-share.ru/invoice.docm
ORG-CORP-01,INC-1001,ALT-10005,2026-08-27 08:02:06,DET-241,Outbound C2 Communication to Suspect IP,CommandAndControl,T1071.001,High,TruePositive,Blocked,DEV-FIN-02,corp\backup_admin,192.168.10.46,4a5e1e4baab89f3a32518a88c31bc87f618f76673e2cc77ab2127b7afdeda33b,http://malicious-doc-share.ru/invoice.docm
ORG-CORP-01,INC-1001,ALT-10006,2026-08-27 08:14:06,DET-321,Lateral SMB File Copy to Backup Server,LateralMovement,T1021.002,Critical,TruePositive,Detected,DEV-FIN-01,corp\finance_svc,192.168.10.45,4a5e1e4baab89f3a32518a88c31bc87f618f76673e2cc77ab2127b7afdeda33b,http://malicious-doc-share.ru/invoice.docm
ORG-CORP-01,INC-1002,ALT-10007,2026-08-27 07:06:06,DET-555,LSASS Process Memory Access / MiniDump,CredentialAccess,T1003.001,Critical,TruePositive,Detected,DEV-DC-01,corp\domain_admin,192.168.20.108,8c42b0c3679c2ef3bf3589b3f6e1f0e21074e2d3b4f9f743ab98d89a26315efb,N/A
ORG-CORP-01,INC-1002,ALT-10008,2026-08-27 07:21:06,DET-150,Pass-the-Hash NTLM Relay Detected,LateralMovement,T1550.002,High,TruePositive,Detected,DEV-DC-01,corp\dev_lead,10.0.0.1,8c42b0c3679c2ef3bf3589b3f6e1f0e21074e2d3b4f9f743ab98d89a26315efb,N/A
ORG-CORP-01,INC-1002,ALT-10009,2026-08-27 07:41:06,DET-120,Remote PowerShell Session to Domain Controller,Execution,T1021.006,High,TruePositive,Detected,DEV-ENG-08,corp\domain_admin,10.0.0.1,8c42b0c3679c2ef3bf3589b3f6e1f0e21074e2d3b4f9f743ab98d89a26315efb,N/A
ORG-CORP-01,INC-1002,ALT-10010,2026-08-27 08:28:06,DET-478,Suspicious Group Policy Object Modification,Persistence,T1484.001,Critical,TruePositive,Detected,DEV-DC-01,corp\dev_lead,10.0.0.1,8c42b0c3679c2ef3bf3589b3f6e1f0e21074e2d3b4f9f743ab98d89a26315efb,N/A
ORG-CORP-01,INC-1002,ALT-10011,2026-08-27 08:57:06,DET-213,Golden Ticket Kerberos Activity,PrivilegeEscalation,T1558.001,Critical,TruePositive,Detected,DEV-ENG-08,corp\dev_lead,192.168.20.108,8c42b0c3679c2ef3bf3589b3f6e1f0e21074e2d3b4f9f743ab98d89a26315efb,N/A
ORG-CORP-01,INC-1003,ALT-10012,2026-08-27 07:00:06,DET-102,Impossible Travel Anomaly (Tokyo to London in 10m),InitialAccess,T1078.004,High,TruePositive,Detected,DEV-MKT-03,corp\sarah.connor@acme.com,194.26.29.112,N/A,https://graph.microsoft.com/v1.0/me/messages
ORG-CORP-01,INC-1003,ALT-10013,2026-08-27 07:09:06,DET-135,MFA Fatigue Push Notification Spam Accepted,CredentialAccess,T1621,High,TruePositive,Detected,DEV-MKT-03,corp\sarah.connor@acme.com,192.168.30.15,N/A,https://graph.microsoft.com/v1.0/me/messages
ORG-CORP-01,INC-1003,ALT-10014,2026-08-27 07:24:06,DET-798,Suspicious OAuth Application Registered,Persistence,T1528,Medium,TruePositive,Allowed,DEV-MKT-03,corp\sarah.connor@acme.com,192.168.30.15,N/A,https://graph.microsoft.com/v1.0/me/messages
ORG-CORP-01,INC-1003,ALT-10015,2026-08-27 07:53:06,DET-846,Mass Mailbox Data Export via Graph API,Exfiltration,T1530,High,TruePositive,Detected,DEV-MKT-03,corp\sarah.connor@acme.com,194.26.29.112,N/A,https://graph.microsoft.com/v1.0/me/messages
ORG-CORP-01,INC-1004,ALT-10016,2026-08-27 06:56:06,DET-914,High Volume TCP Port Scan Detected (Nmap),Discovery,T1046,Low,BenignPositive,Allowed,DEV-MGMT-02,corp\net_admin,10.0.0.253,N/A,N/A
ORG-CORP-01,INC-1004,ALT-10017,2026-08-27 07:09:06,DET-675,Automated SSH Banner Grabbing,Discovery,T1046,Low,BenignPositive,Allowed,DEV-MGMT-01,corp\net_admin,10.0.0.254,N/A,N/A
ORG-CORP-01,INC-1004,ALT-10018,2026-08-27 07:19:06,DET-454,SNMP Community String Enumeration,Discovery,T1046,Informational,BenignPositive,Allowed,DEV-MGMT-01,corp\sec_ops,10.0.0.254,N/A,N/A
ORG-CORP-01,INC-1004,ALT-10019,2026-08-27 07:26:06,DET-464,Simulated SMB Auth Checks (Nessus Scanner),Discovery,T1110.001,Low,BenignPositive,Allowed,DEV-MGMT-01,corp\sec_ops,10.0.0.253,N/A,N/A
ORG-CORP-01,INC-1005,ALT-10020,2026-08-27 06:54:06,DET-556,SQL Injection Syntax in Query Parameter,InitialAccess,T1190,Medium,FalsePositive,Blocked,SRV-WEB-02,svc_web_iis,203.0.113.88,N/A,https://portal.acme.com/api/search?q=SQL+UNION+SELECT
ORG-CORP-01,INC-1005,ALT-10021,2026-08-27 07:03:06,DET-815,Cross-Site Scripting Pattern Detected,InitialAccess,T1059.007,Low,FalsePositive,Blocked,SRV-WEB-01,svc_web_iis,203.0.113.88,N/A,https://portal.acme.com/api/search?q=SQL+UNION+SELECT
ORG-CORP-01,INC-1005,ALT-10022,2026-08-27 07:14:06,DET-939,Directory Traversal Attempt (../etc/passwd),InitialAccess,T1190,Low,FalsePositive,Blocked,SRV-WEB-01,svc_web_iis,203.0.113.19,N/A,https://portal.acme.com/api/search?q=SQL+UNION+SELECT
ORG-CORP-01,INC-1006,ALT-10023,2026-08-27 06:55:06,DET-883,Multiple Failed Domain Logon Attempts,CredentialAccess,T1110.001,Low,FalsePositive,Detected,DEV-CORP-W10-03,corp\dave.m,192.168.40.13,N/A,N/A
ORG-CORP-01,INC-1006,ALT-10024,2026-08-27 07:00:06,DET-464,Account Locked Out Due to Bad Passwords,AccountActivity,T1110.001,Informational,FalsePositive,Detected,DEV-CORP-W10-01,corp\carol.w,192.168.40.12,N/A,N/A
ORG-CORP-01,INC-1006,ALT-10025,2026-08-27 06:59:06,DET-834,Kerberos Pre-Authentication Failure Spike,CredentialAccess,T1110.001,Low,FalsePositive,Detected,DEV-CORP-W10-03,corp\carol.w,192.168.40.12,N/A,N/A
ORG-CORP-01,INC-1007,ALT-10026,2026-08-27 06:57:06,DET-129,Suspicious DLL Loaded by Signed Executable,DefenseEvasion,T1574.002,Critical,TruePositive,Detected,DEV-OPS-04,corp\deploy_bot,192.168.50.20,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,https://update-packages.globalcdn-delivery.net/payload.bin
ORG-CORP-01,INC-1007,ALT-10027,2026-08-27 07:19:06,DET-858,Hidden Scheduled Task Registered in Registry,Persistence,T1053.005,High,TruePositive,Detected,BUILD-SRV-01,corp\deploy_bot,192.168.50.20,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,https://update-packages.globalcdn-delivery.net/payload.bin
ORG-CORP-01,INC-1007,ALT-10028,2026-08-27 07:34:06,DET-637,Archive File Created in Temp Directory,Collection,T1560.001,Medium,TruePositive,Detected,BUILD-SRV-01,corp\jenkins_svc,45.33.32.156,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,https://update-packages.globalcdn-delivery.net/payload.bin
ORG-CORP-01,INC-1007,ALT-10029,2026-08-27 07:57:06,DET-472,Encrypted TLS Traffic to Uncategorized IP,Exfiltration,T1048.003,Critical,TruePositive,Detected,BUILD-SRV-01,corp\jenkins_svc,45.33.32.156,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,https://update-packages.globalcdn-delivery.net/payload.bin
ORG-CORP-01,INC-NOISE-248,ALT-10030,2026-08-27 07:14:06,DET-996,High RAM Utilization Warning,System,N/A,Informational,FalsePositive,Allowed,DEV-WORKSTATION-26,corp\user_25,192.168.100.209,N/A,N/A
ORG-CORP-01,INC-NOISE-236,ALT-10031,2026-08-28 06:07:06,DET-320,High RAM Utilization Warning,System,N/A,Informational,FalsePositive,Allowed,DEV-WORKSTATION-02,corp\user_07,192.168.100.48,N/A,N/A
ORG-CORP-01,INC-NOISE-219,ALT-10032,2026-08-28 10:40:06,DET-979,Certificate Near Expiration (Internal Root CA),System,N/A,Low,BenignPositive,Allowed,DEV-WORKSTATION-25,corp\user_40,192.168.100.125,N/A,N/A
ORG-CORP-01,INC-NOISE-235,ALT-10033,2026-08-28 00:47:06,DET-417,High RAM Utilization Warning,System,N/A,Informational,FalsePositive,Allowed,DEV-WORKSTATION-36,corp\user_35,192.168.100.36,N/A,N/A
ORG-CORP-01,INC-NOISE-240,ALT-10034,2026-08-28 08:44:06,DET-110,Minor DNS Resolution Timeout,Network,N/A,Informational,FalsePositive,Allowed,DEV-WORKSTATION-22,corp\user_18,192.168.100.194,N/A,N/A
ORG-CORP-01,INC-NOISE-208,ALT-10035,2026-08-27 21:03:06,DET-274,PowerShell Execution Policy Check,Discovery,T1059.001,Informational,FalsePositive,Detected,DEV-WORKSTATION-05,corp\user_20,192.168.100.59,N/A,N/A
ORG-CORP-01,INC-NOISE-241,ALT-10036,2026-08-28 01:00:06,DET-940,Windows Event Log Service Cleared (Scheduled Test),DefenseEvasion,T1070.001,Medium,FalsePositive,Detected,DEV-WORKSTATION-32,corp\user_17,192.168.100.19,N/A,N/A
