OrgId,IncidentId,AlertId,Timestamp,DetectorId,AlertTitle,Category,MitreTechniques,Severity,IncidentGrade,ActionGrouped,DeviceId,AccountUpn,IpAddress,Sha256,Url
ORG-CORP-01,INC-1001,ALT-10001,2026-08-27 07:46:56,DET-375,Malicious Office Macro Executed,InitialAccess,T1566.001,High,TruePositive,Blocked,DEV-FIN-01,corp\backup_admin,192.168.10.45,4a5e1e4baab89f3a32518a88c31bc87f618f76673e2cc77ab2127b7afdeda33b,http://malicious-doc-share.ru/invoice.docm
ORG-CORP-01,INC-1001,ALT-10002,2026-08-27 08:00:56,DET-536,PowerShell Obfuscated Script Execution,Execution,T1059.001,High,TruePositive,Detected,DEV-SRV-BACKUP,corp\alice.smith,192.168.10.45,4a5e1e4baab89f3a32518a88c31bc87f618f76673e2cc77ab2127b7afdeda33b,http://malicious-doc-share.ru/invoice.docm
ORG-CORP-01,INC-1001,ALT-10003,2026-08-27 08:22:56,DET-988,Volume Shadow Copies Deleted via vssadmin,Impact,T1490,Critical,TruePositive,Detected,DEV-FIN-02,corp\backup_admin,192.168.10.46,4a5e1e4baab89f3a32518a88c31bc87f618f76673e2cc77ab2127b7afdeda33b,http://malicious-doc-share.ru/invoice.docm
ORG-CORP-01,INC-1001,ALT-10004,2026-08-27 08:39:56,DET-735,High Volume of File Renaming to .locked,Impact,T1486,Critical,TruePositive,Detected,DEV-FIN-02,corp\backup_admin,185.220.101.42,4a5e1e4baab89f3a32518a88c31bc87f618f76673e2cc77ab2127b7afdeda33b,http://malicious-doc-share.ru/invoice.docm
ORG-CORP-01,INC-1001,ALT-10005,2026-08-27 08:54:56,DET-731,Outbound C2 Communication to Suspect IP,CommandAndControl,T1071.001,High,TruePositive,Blocked,DEV-SRV-BACKUP,corp\backup_admin,192.168.10.46,4a5e1e4baab89f3a32518a88c31bc87f618f76673e2cc77ab2127b7afdeda33b,http://malicious-doc-share.ru/invoice.docm
ORG-CORP-01,INC-1001,ALT-10006,2026-08-27 09:08:56,DET-490,Lateral SMB File Copy to Backup Server,LateralMovement,T1021.002,Critical,TruePositive,Detected,DEV-SRV-BACKUP,corp\backup_admin,185.220.101.42,4a5e1e4baab89f3a32518a88c31bc87f618f76673e2cc77ab2127b7afdeda33b,http://malicious-doc-share.ru/invoice.docm
ORG-CORP-01,INC-1002,ALT-10007,2026-08-27 07:59:56,DET-972,LSASS Process Memory Access / MiniDump,CredentialAccess,T1003.001,Critical,TruePositive,Detected,DEV-ENG-08,corp\dev_lead,192.168.20.108,8c42b0c3679c2ef3bf3589b3f6e1f0e21074e2d3b4f9f743ab98d89a26315efb,N/A
ORG-CORP-01,INC-1002,ALT-10008,2026-08-27 08:11:56,DET-134,Pass-the-Hash NTLM Relay Detected,LateralMovement,T1550.002,High,TruePositive,Detected,DEV-ENG-08,corp\domain_admin,192.168.20.108,8c42b0c3679c2ef3bf3589b3f6e1f0e21074e2d3b4f9f743ab98d89a26315efb,N/A
ORG-CORP-01,INC-1002,ALT-10009,2026-08-27 08:31:56,DET-174,Remote PowerShell Session to Domain Controller,Execution,T1021.006,High,TruePositive,Detected,DEV-ENG-08,corp\domain_admin,192.168.20.108,8c42b0c3679c2ef3bf3589b3f6e1f0e21074e2d3b4f9f743ab98d89a26315efb,N/A
ORG-CORP-01,INC-1002,ALT-10010,2026-08-27 09:19:56,DET-206,Suspicious Group Policy Object Modification,Persistence,T1484.001,Critical,TruePositive,Detected,DEV-DC-01,corp\dev_lead,10.0.0.1,8c42b0c3679c2ef3bf3589b3f6e1f0e21074e2d3b4f9f743ab98d89a26315efb,N/A
ORG-CORP-01,INC-1002,ALT-10011,2026-08-27 09:49:56,DET-255,Golden Ticket Kerberos Activity,PrivilegeEscalation,T1558.001,Critical,TruePositive,Detected,DEV-DC-01,corp\domain_admin,192.168.20.108,8c42b0c3679c2ef3bf3589b3f6e1f0e21074e2d3b4f9f743ab98d89a26315efb,N/A
ORG-CORP-01,INC-1003,ALT-10012,2026-08-27 07:51:56,DET-813,Impossible Travel Anomaly (Tokyo to London in 10m),InitialAccess,T1078.004,High,TruePositive,Detected,DEV-MKT-03,corp\sarah.connor@acme.com,192.168.30.15,N/A,https://graph.microsoft.com/v1.0/me/messages
